no,category,img,url,name
1,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043314_P_NONOKURAGE.jpg,ノノクラゲ
2,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043315_P_RIKUKURAGEEX.jpg,リククラゲex
3,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043316_P_PAMO.jpg,パモ
4,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043317_P_PAMOTTO.jpg,パモット
5,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043318_P_PAMOTTOEX.jpg,パーモットex
6,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043319_P_BOCHI.jpg,ボチ
7,881,,https://www.pokemon-card.com//assets/images/card_images/large/SVP1/043320_P_HAKADOGGUEX.jpg,ハカドッグex
1,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043322_P_FUSHIGIDANE.jpg,フシギダネ
2,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043487_P_FUSHIGIDANE.jpg,フシギダネ
3,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043323_P_FUSHIGISOU.jpg,フシギソウ
4,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043488_P_FUSHIGISOU.jpg,フシギソウ
5,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043324_P_FUSHIGIBANAEX.jpg,フシギバナex
6,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043325_P_HITOKAGE.jpg,ヒトカゲ
7,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043489_P_HITOKAGE.jpg,ヒトカゲ
8,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043326_P_RIZADO.jpg,リザード
9,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043490_P_RIZADO.jpg,リザード
10,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043327_P_RIZADONEX.jpg,リザードンex
11,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043328_P_ZENIGAME.jpg,ゼニガメ
12,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043491_P_ZENIGAME.jpg,ゼニガメ
13,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043329_P_KAMERU.jpg,カメール
14,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043492_P_KAMERU.jpg,カメール
15,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043330_P_KAMEKKUSUEX.jpg,カメックスex
16,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043331_P_KIXYATAPI.jpg,キャタピー
17,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043493_P_KIXYATAPI.jpg,キャタピー
18,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043332_P_TORANSERU.jpg,トランセル
19,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043494_P_TORANSERU.jpg,トランセル
20,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043333_P_BATAFURI.jpg,バタフリー
21,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043495_P_BATAFURI.jpg,バタフリー
22,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043334_P_BIDORU.jpg,ビードル
23,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043496_P_BIDORU.jpg,ビードル
24,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043335_P_KOKUN.jpg,コクーン
25,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043497_P_KOKUN.jpg,コクーン
26,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043336_P_SUPIA.jpg,スピアー
27,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043498_P_SUPIA.jpg,スピアー
28,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043337_P_POPPO.jpg,ポッポ
29,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043499_P_POPPO.jpg,ポッポ
30,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043338_P_PIJIXYON.jpg,ピジョン
31,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043500_P_PIJIXYON.jpg,ピジョン
32,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043339_P_PIJIXYOTTO.jpg,ピジョット
33,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043501_P_PIJIXYOTTO.jpg,ピジョット
34,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043340_P_KORATTA.jpg,コラッタ
35,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043502_P_KORATTA.jpg,コラッタ
36,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043341_P_RATTA.jpg,ラッタ
37,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043503_P_RATTA.jpg,ラッタ
38,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043342_P_ONISUZUME.jpg,オニスズメ
39,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043504_P_ONISUZUME.jpg,オニスズメ
40,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043343_P_ONIDORIRU.jpg,オニドリル
41,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043505_P_ONIDORIRU.jpg,オニドリル
42,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043344_P_ABO.jpg,アーボ
43,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043506_P_ABO.jpg,アーボ
44,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043345_P_ABOKKUEX.jpg,アーボックex
45,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043346_P_PIKACHIXYUU.jpg,ピカチュウ
46,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043507_P_PIKACHIXYUU.jpg,ピカチュウ
47,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043347_P_RAICHIXYUU.jpg,ライチュウ
48,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043508_P_RAICHIXYUU.jpg,ライチュウ
49,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043348_P_SANDO.jpg,サンド
50,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043509_P_SANDO.jpg,サンド
51,882,,https://www.pokemon-card.com//assets/images/card_images/large/SV2a/043349_P_SANDOPAN.jpg,サンドパン
